date,food_item,demand,holiday
2024-01-01,Pizza,102,1
2024-01-01,Burger,159,1
2024-01-01,Pasta,103,1
2024-01-01,Salad,70,1
2024-01-01,Sandwich,104,1
2024-01-01,Rice Bowl,98,1
2024-01-01,Noodles,83,1
2024-01-01,Soup,61,1
2024-01-02,Pizza,118,1
2024-01-02,Burger,154,1
2024-01-02,Pasta,80,1
2024-01-02,Salad,84,1
2024-01-02,Sandwich,145,1
2024-01-02,Rice Bowl,107,1
2024-01-02,Noodles,93,1
2024-01-02,Soup,49,1
2024-01-03,Pizza,110,1
2024-01-03,Burger,151,1
2024-01-03,Pasta,102,1
2024-01-03,Salad,68,1
2024-01-03,Sandwich,141,1
2024-01-03,Rice Bowl,109,1
2024-01-03,Noodles,103,1
2024-01-03,Soup,56,1
2024-01-04,Pizza,123,1
2024-01-04,Burger,175,1
2024-01-04,Pasta,97,1
2024-01-04,Salad,79,1
2024-01-04,Sandwich,146,1
2024-01-04,Rice Bowl,109,1
2024-01-04,Noodles,123,1
2024-01-04,Soup,54,1
2024-01-05,Pizza,113,1
2024-01-05,Burger,203,1
2024-01-05,Pasta,143,1
2024-01-05,Salad,96,1
2024-01-05,Sandwich,143,1
2024-01-05,Rice Bowl,123,1
2024-01-05,Noodles,138,1
2024-01-05,Soup,67,1
2024-01-06,Pizza,114,0
2024-01-06,Burger,168,0
2024-01-06,Pasta,96,0
2024-01-06,Salad,98,0
2024-01-06,Sandwich,137,0
2024-01-06,Rice Bowl,152,0
2024-01-06,Noodles,117,0
2024-01-06,Soup,68,0
2024-01-07,Pizza,127,0
2024-01-07,Burger,136,0
2024-01-07,Pasta,129,0
2024-01-07,Salad,86,0
2024-01-07,Sandwich,165,0
2024-01-07,Rice Bowl,153,0
2024-01-07,Noodles,121,0
2024-01-07,Soup,72,0
2024-01-08,Pizza,60,0
2024-01-08,Burger,79,0
2024-01-08,Pasta,51,0
2024-01-08,Salad,41,0
2024-01-08,Sandwich,77,0
2024-01-08,Rice Bowl,69,0
2024-01-08,Noodles,76,0
2024-01-08,Soup,33,0
2024-01-09,Pizza,69,0
2024-01-09,Burger,96,0
2024-01-09,Pasta,56,0
2024-01-09,Salad,53,0
2024-01-09,Sandwich,70,0
2024-01-09,Rice Bowl,96,0
2024-01-09,Noodles,79,0
2024-01-09,Soup,33,0
2024-01-10,Pizza,64,0
2024-01-10,Burger,112,0
2024-01-10,Pasta,75,0
2024-01-10,Salad,54,0
2024-01-10,Sandwich,99,0
2024-01-10,Rice Bowl,70,0
2024-01-10,Noodles,70,0
2024-01-10,Soup,33,0
2024-01-11,Pizza,96,0
2024-01-11,Burger,110,0
2024-01-11,Pasta,68,0
2024-01-11,Salad,43,0
2024-01-11,Sandwich,87,0
2024-01-11,Rice Bowl,83,0
2024-01-11,Noodles,85,0
2024-01-11,Soup,44,0
2024-01-12,Pizza,106,0
2024-01-12,Burger,113,0
2024-01-12,Pasta,68,0
2024-01-12,Salad,62,0
2024-01-12,Sandwich,114,0
2024-01-12,Rice Bowl,100,0
2024-01-12,Noodles,95,0
2024-01-12,Soup,45,0
2024-01-13,Pizza,136,0
2024-01-13,Burger,164,0
2024-01-13,Pasta,95,0
2024-01-13,Salad,71,0
2024-01-13,Sandwich,123,0
2024-01-13,Rice Bowl,151,0
2024-01-13,Noodles,117,0
2024-01-13,Soup,67,0
2024-01-14,Pizza,145,0
2024-01-14,Burger,140,0
2024-01-14,Pasta,105,0
2024-01-14,Salad,85,0
2024-01-14,Sandwich,125,0
2024-01-14,Rice Bowl,110,0
2024-01-14,Noodles,107,0
2024-01-14,Soup,53,0
2024-01-15,Pizza,84,0
2024-01-15,Burger,101,0
2024-01-15,Pasta,66,0
2024-01-15,Salad,51,0
2024-01-15,Sandwich,90,0
2024-01-15,Rice Bowl,66,0
2024-01-15,Noodles,78,0
2024-01-15,Soup,36,0
2024-01-16,Pizza,85,0
2024-01-16,Burger,110,0
2024-01-16,Pasta,61,0
2024-01-16,Salad,40,0
2024-01-16,Sandwich,76,0
2024-01-16,Rice Bowl,78,0
2024-01-16,Noodles,80,0
2024-01-16,Soup,43,0
2024-01-17,Pizza,64,0
2024-01-17,Burger,100,0
2024-01-17,Pasta,67,0
2024-01-17,Salad,44,0
2024-01-17,Sandwich,76,0
2024-01-17,Rice Bowl,79,0
2024-01-17,Noodles,88,0
2024-01-17,Soup,37,0
2024-01-18,Pizza,84,0
2024-01-18,Burger,113,0
2024-01-18,Pasta,69,0
2024-01-18,Salad,62,0
2024-01-18,Sandwich,111,0
2024-01-18,Rice Bowl,80,0
2024-01-18,Noodles,78,0
2024-01-18,Soup,38,0
2024-01-19,Pizza,84,0
2024-01-19,Burger,93,0
2024-01-19,Pasta,84,0
2024-01-19,Salad,57,0
2024-01-19,Sandwich,84,0
2024-01-19,Rice Bowl,89,0
2024-01-19,Noodles,100,0
2024-01-19,Soup,41,0
2024-01-20,Pizza,115,0
2024-01-20,Burger,168,0
2024-01-20,Pasta,141,0
2024-01-20,Salad,75,0
2024-01-20,Sandwich,162,0
2024-01-20,Rice Bowl,158,0
2024-01-20,Noodles,113,0
2024-01-20,Soup,73,0
2024-01-21,Pizza,118,0
2024-01-21,Burger,164,0
2024-01-21,Pasta,115,0
2024-01-21,Salad,79,0
2024-01-21,Sandwich,117,0
2024-01-21,Rice Bowl,150,0
2024-01-21,Noodles,108,0
2024-01-21,Soup,54,0
2024-01-22,Pizza,58,0
2024-01-22,Burger,93,0
2024-01-22,Pasta,67,0
2024-01-22,Salad,36,0
2024-01-22,Sandwich,81,0
2024-01-22,Rice Bowl,68,0
2024-01-22,Noodles,71,0
2024-01-22,Soup,31,0
2024-01-23,Pizza,81,0
2024-01-23,Burger,90,0
2024-01-23,Pasta,78,0
2024-01-23,Salad,40,0
2024-01-23,Sandwich,80,0
2024-01-23,Rice Bowl,68,0
2024-01-23,Noodles,83,0
2024-01-23,Soup,43,0
2024-01-24,Pizza,72,0
2024-01-24,Burger,106,0
2024-01-24,Pasta,78,0
2024-01-24,Salad,51,0
2024-01-24,Sandwich,91,0
2024-01-24,Rice Bowl,76,0
2024-01-24,Noodles,62,0
2024-01-24,Soup,46,0
2024-01-25,Pizza,97,0
2024-01-25,Burger,110,0
2024-01-25,Pasta,68,0
2024-01-25,Salad,49,0
2024-01-25,Sandwich,103,0
2024-01-25,Rice Bowl,103,0
2024-01-25,Noodles,90,0
2024-01-25,Soup,46,0
2024-01-26,Pizza,97,0
2024-01-26,Burger,95,0
2024-01-26,Pasta,69,0
2024-01-26,Salad,66,0
2024-01-26,Sandwich,107,0
2024-01-26,Rice Bowl,78,0
2024-01-26,Noodles,72,0
2024-01-26,Soup,49,0
2024-01-27,Pizza,108,0
2024-01-27,Burger,146,0
2024-01-27,Pasta,120,0
2024-01-27,Salad,90,0
2024-01-27,Sandwich,161,0
2024-01-27,Rice Bowl,127,0
2024-01-27,Noodles,137,0
2024-01-27,Soup,60,0
2024-01-28,Pizza,116,0
2024-01-28,Burger,171,0
2024-01-28,Pasta,115,0
2024-01-28,Salad,88,0
2024-01-28,Sandwich,149,0
2024-01-28,Rice Bowl,136,0
2024-01-28,Noodles,97,0
2024-01-28,Soup,59,0
2024-01-29,Pizza,65,0
2024-01-29,Burger,80,0
2024-01-29,Pasta,74,0
2024-01-29,Salad,43,0
2024-01-29,Sandwich,93,0
2024-01-29,Rice Bowl,80,0
2024-01-29,Noodles,75,0
2024-01-29,Soup,36,0
2024-01-30,Pizza,78,0
2024-01-30,Burger,94,0
2024-01-30,Pasta,58,0
2024-01-30,Salad,51,0
2024-01-30,Sandwich,78,0
2024-01-30,Rice Bowl,65,0
2024-01-30,Noodles,75,0
2024-01-30,Soup,33,0
2024-01-31,Pizza,94,0
2024-01-31,Burger,118,0
2024-01-31,Pasta,81,0
2024-01-31,Salad,47,0
2024-01-31,Sandwich,72,0
2024-01-31,Rice Bowl,99,0
2024-01-31,Noodles,72,0
2024-01-31,Soup,47,0
2024-02-01,Pizza,99,0
2024-02-01,Burger,119,0
2024-02-01,Pasta,67,0
2024-02-01,Salad,50,0
2024-02-01,Sandwich,107,0
2024-02-01,Rice Bowl,82,0
2024-02-01,Noodles,68,0
2024-02-01,Soup,42,0
2024-02-02,Pizza,108,0
2024-02-02,Burger,124,0
2024-02-02,Pasta,82,0
2024-02-02,Salad,48,0
2024-02-02,Sandwich,108,0
2024-02-02,Rice Bowl,116,0
2024-02-02,Noodles,73,0
2024-02-02,Soup,46,0
2024-02-03,Pizza,155,0
2024-02-03,Burger,185,0
2024-02-03,Pasta,127,0
2024-02-03,Salad,91,0
2024-02-03,Sandwich,143,0
2024-02-03,Rice Bowl,131,0
2024-02-03,Noodles,142,0
2024-02-03,Soup,75,0
2024-02-04,Pizza,143,0
2024-02-04,Burger,181,0
2024-02-04,Pasta,109,0
2024-02-04,Salad,78,0
2024-02-04,Sandwich,157,0
2024-02-04,Rice Bowl,140,0
2024-02-04,Noodles,126,0
2024-02-04,Soup,69,0
2024-02-05,Pizza,83,0
2024-02-05,Burger,84,0
2024-02-05,Pasta,59,0
2024-02-05,Salad,37,0
2024-02-05,Sandwich,83,0
2024-02-05,Rice Bowl,62,0
2024-02-05,Noodles,66,0
2024-02-05,Soup,36,0
2024-02-06,Pizza,69,0
2024-02-06,Burger,98,0
2024-02-06,Pasta,54,0
2024-02-06,Salad,38,0
2024-02-06,Sandwich,96,0
2024-02-06,Rice Bowl,76,0
2024-02-06,Noodles,60,0
2024-02-06,Soup,38,0
2024-02-07,Pizza,88,0
2024-02-07,Burger,88,0
2024-02-07,Pasta,73,0
2024-02-07,Salad,41,0
2024-02-07,Sandwich,73,0
2024-02-07,Rice Bowl,86,0
2024-02-07,Noodles,76,0
2024-02-07,Soup,42,0
2024-02-08,Pizza,91,0
2024-02-08,Burger,124,0
